,pack_name,brand_0,brand_1,pieces_0,pieces_1,diff_0,diff_1,num_puzzles,diff_0_num,diff_1_num
131,Liberty Puzzle Dr. Seuss Plethora of Cats Liberty Puzzles Linnea Pergola Metropolitain,Liberty,,545.0,616.0,Hard,A-Easy,2.0,3.0,1.0
132,Liberty Puzzle Jo Mora Cowboys of North America ,Liberty,,729.0,,Average,,1.0,2.0,
133,Liberty Puzzle Konstatin Gorbatov A Winters Day Ecru Puzzles Kawase Hasui Nocturne,Ecru,Liberty,527.0,145.0,Hard,Average,2.0,3.0,2.0
134,Liberty Puzzle Valentine Swans Ecru Puzzles Milton Brightman Flowering Cherry,,,361.0,,,,1.0,2.0,
135,Liberty Puzzles A Tasty Treat Wentworth Puzzles Claude Monet Le Pont Japonais,,,361.0,,,,1.0,2.0,
136,Liberty Puzzles Agra Liberty Puzzles Ditz Patchwork-Birds,Liberty,,608.0,562.0,Average,Average,2.0,2.0,2.0
137,Liberty Puzzles Alan Paterson Historical Map of New Zealand ,Liberty,,677.0,,Hard,,1.0,3.0,
138,Liberty Puzzles Alex Beard Butterflies Ecru Puzzles Mystery Puzzle #20,,,361.0,,,,1.0,2.0,
139,Liberty Puzzles Alex Beard On the Ngare Ndare River Liberty Puzzles West Entry Colonnade and General View of Angkor Wat,,,361.0,,,,1.0,2.0,
140,Liberty Puzzles Alex Beard The Louisiana Tree of Life Liberty Puzzles Canaletto The Thames and the City,Liberty,,555.0,609.0,Average,Average,2.0,2.0,2.0
141,Liberty Puzzles Alphonse Mucha Cycles Perfecta Liberty Puzzles Shamsa (Sunburst),Liberty,,400.0,484.0,Average,Hard,2.0,2.0,3.0
142,Liberty Puzzles Alphonse Mucha La Danse Liberty Puzzles The Ladies Home Journal All-Story Number,Liberty,,250.0,258.0,Average,Hard,2.0,2.0,3.0
143,Liberty Puzzles Ando Hiroshige Precincts of the Tenjin Shrine at Kameido Liberty Puzzles Ito Jakuchu Peonies and Small Birds,Liberty,,500.0,471.0,Average,Hard,2.0,2.0,3.0
144,Liberty Puzzles Atkinson On The River Greta ,Liberty,,609.0,,Hard,,1.0,3.0,
145,Liberty Puzzles Audubon Carolina Parakeets Artifact Puzzles Jethro Buck Fishies,,,361.0,,,,1.0,2.0,
146,Liberty Puzzles Batteries Not Included Wentworth Puzzles Flight Of Fancy,,,361.0,,,,1.0,2.0,
147,Liberty Puzzles Beautiful Fishes Of The Deep ,Liberty,,605.0,,Average,,1.0,2.0,
148,Liberty Puzzles Beetles Ecru Puzzles Nicole Gustafson The Bookkeeper,Ecru,Liberty,246.0,372.0,A-Easy,Average,2.0,1.0,2.0
149,Liberty Puzzles Beryl and Graham Peters Holiday Crackers ,Liberty,,603.0,,A-Easy,,1.0,1.0,
150,Liberty Puzzles Birds of the Tropics ,Liberty,,745.0,,Average,,1.0,2.0,
151,"Liberty Puzzles Birgitte Hendril Woodpecker, Owl and Thrush Liberty Puzzles John Audubon American Avocet",,,361.0,,,,1.0,2.0,
152,"Liberty Puzzles Boris Kustodiyev Winter Carnival Fair, 1919 Liberty Puzzles Ando Hiroshige Atagoshita and Yabu Lane",Liberty,,571.0,564.0,Hard,Hard,2.0,3.0,3.0
153,Liberty Puzzles Botticelli Birth of Venus Ecru Puzzles Ochiai Rofu Kyoto Four Scenes,,,361.0,,,,1.0,2.0,
