,name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
246,Dowdle Nativity Dowdle Oregon State Beavers,0.0,580.0,0.0,0.0,2
247,Dowdle Puzzles New Orleans Dowdle Puzzles Nativity,280.0,0.0,280.0,0.0,2
248,Ecru Mystery Puzzle #9 Artifact Puzzles Eric Joyner Gangenstein,382.0,0.0,0.0,0.0,2
249,Ecru Puzzles Aaron Wolf Siege Of Cranes Ecru Puzzles Aaron Wolf Lost Civilization,0.0,0.0,884.0,0.0,2
250,Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon,0.0,0.0,684.0,0.0,2
251,Ecru Puzzles Piet Mondrian Oostzijdse Mill Artifact Puzzles Kessel Butterflies,342.0,0.0,0.0,0.0,2
252,Ecru Puzzles Ragamala Mughal Miniature Artifact Puzzles Piet Mondrian,80.0,153.0,0.0,0.0,2
253,Ecru Puzzles Ton Dubbeldam Grand Italia Artifact Puzzles Michelle Morin Hummingbirds,270.0,0.0,0.0,287.0,2
254,Elms Puzzles The Blue Gate Artifact Puzzles Kozyndan Forest Dream,0.0,856.0,0.0,0.0,2
255,Fools Gold Baffling Butterflies Joyful Nook Gallery Puzzles Thankful,0.0,253.0,0.0,0.0,2
256,Fox Smart Box Gustav Klimt Kiss Fox Smart Box Butterflies Challenge,0.0,527.0,0.0,0.0,2
257,FoxSmartBox Fairy Forest Summer FoxSmartBox Fairy Forest Winter,0.0,939.0,0.0,0.0,2
258,FoxSmartBox Tree Of Angels FoxSmartBox Visiting The Bear,0.0,800.0,0.0,0.0,2
259,Hellofish Piet Mondrian Hellofish Azulejo Tiles,0.0,300.0,0.0,300.0,2
260,II Ravens Puzzles Claude Monet Bridge At Argenteuil Zen Puzzles Sea Glass,0.0,246.0,0.0,0.0,2
261,Inside Adventure Helen Dryden The Southern Sun Zen Puzzles Chickadee,0.0,671.0,0.0,0.0,2
